       0Popstan
01     1Artesia                                           
1006   2Davao                                             
10060013Locality 1
10060113Locality 11
10060173Locality 17
10060183Locality 18
10060263Locality 26
10060273Locality 27
10060303Locality 30
10060413Locality 41
10060423Locality 42
10060463Locality 46
10060573Locality 57
10060623Locality 62
10060773Locality 77
10060813Locality 81
10060923Locality 92
10060983Locality 98
10061193Locality 119
10061203Locality 120
10061273Locality 127
10061313Locality 131
10061443Locality 144
10061513Locality 151
10061743Locality 174
10062303Locality 230
10062393Locality 239
1007   2Ganta                                             
10070033Locality 3
10070043Locality 4
10070053Locality 5
10070073Locality 7
10070083Locality 8
10070133Locality 13
10070193Locality 19
10070243Locality 24
10070283Locality 28
10070293Locality 29
10070313Locality 31
10070343Locality 34
10070353Locality 35
10070363Locality 36
10070403Locality 40
10070523Locality 52
10070563Locality 56
10070593Locality 59
10070613Locality 61
10070633Locality 63
10070713Locality 71
10070923Locality 92
10070963Locality 96
10070983Locality 98
10071023Locality 102
10071083Locality 108
10071143Locality 114
10071183Locality 118
10071243Locality 124
10071263Locality 126
10071303Locality 130
10071383Locality 138
10071403Locality 140
10071413Locality 141
10071593Locality 159
10071683Locality 168
10072293Locality 229
10072343Locality 234
10073153Locality 315
1008   2Harbel                                            
10080053Locality 5
10080083Locality 8
10080103Locality 10
10080173Locality 17
10080233Locality 23
10080253Locality 25
10080333Locality 33
10080393Locality 39
10080403Locality 40
10080413Locality 41
10080453Locality 45
10080563Locality 56
10080613Locality 61
10080663Locality 66
10080763Locality 76
10080803Locality 80
10080913Locality 91
10081183Locality 118
10081193Locality 119
10081263Locality 126
10081293Locality 129
10081313Locality 131
10081433Locality 143
10081503Locality 150
10081733Locality 173
10082263Locality 226
10082293Locality 229
1009   2Kalat                                             
10090013Locality 1
10090023Locality 2
10090033Locality 3
10090063Locality 6
10090173Locality 17
10090223Locality 22
10090263Locality 26
10090273Locality 27
10090293Locality 29
10090323Locality 32
10090333Locality 33
10090383Locality 38
10090453Locality 45
10090483Locality 48
10090503Locality 50
10090543Locality 54
10090573Locality 57
10090593Locality 59
10090613Locality 61
10090643Locality 64
10090903Locality 90
10090943Locality 94
10090963Locality 96
10091003Locality 100
10091063Locality 106
10091123Locality 112
10091163Locality 116
10091193Locality 119
10091223Locality 122
10091233Locality 123
10091243Locality 124
10091283Locality 128
10091383Locality 138
10091393Locality 139
10091563Locality 156
10091573Locality 157
10091663Locality 166
10092113Locality 211
10092273Locality 227
10092323Locality 232
10093133Locality 313
1010   2Mokpo                                             
10100013Locality 1
10100043Locality 4
10100053Locality 5
10100063Locality 6
10100083Locality 8
10100143Locality 14
10100203Locality 20
10100253Locality 25
10100293Locality 29
10100303Locality 30
10100323Locality 32
10100353Locality 35
10100373Locality 37
10100413Locality 41
10100533Locality 53
10100573Locality 57
10100603Locality 60
10100623Locality 62
10100723Locality 72
10100933Locality 93
10100973Locality 97
10100993Locality 99
10101033Locality 103
10101153Locality 115
10101253Locality 125
10101273Locality 127
10101313Locality 131
10101393Locality 139
10101413Locality 141
10101423Locality 142
10101473Locality 147
10101603Locality 160
10101693Locality 169
10101973Locality 197
10102303Locality 230
10102353Locality 235
1011   2Padang                                            
10110013Locality 1
10110043Locality 4
10110073Locality 7
10110093Locality 9
10110113Locality 11
10110163Locality 16
10110243Locality 24
10110283Locality 28
10110323Locality 32
10110353Locality 35
10110383Locality 38
10110393Locality 39
10110403Locality 40
10110443Locality 44
10110563Locality 56
10110603Locality 60
10110653Locality 65
10110753Locality 75
10110963Locality 96
10111173Locality 117
10111183Locality 118
10111193Locality 119
10111283Locality 128
10111303Locality 130
10111343Locality 134
10111423Locality 142
10111633Locality 163
10111723Locality 172
10112283Locality 228
10112383Locality 238
1012   2Passos                                            
10120193Locality 19
10120213Locality 21
10120303Locality 30
10120443Locality 44
10120613Locality 61
10120853Locality 85
10120883Locality 88
10121023Locality 102
10121243Locality 124
10121353Locality 135
10121363Locality 136
10121373Locality 137
10122343Locality 234
1013   2San Nina                                          
10130033Locality 3
10130193Locality 19
10130283Locality 28
10130423Locality 42
10130433Locality 43
10130443Locality 44
10130593Locality 59
10130833Locality 83
10131003Locality 100
10131213Locality 121
10131223Locality 122
10131233Locality 123
10131333Locality 133
10131353Locality 135
10131533Locality 153
10132323Locality 232
10133123Locality 312
1014   2Vigan                                             
10140213Locality 21
10140233Locality 23
10140323Locality 32
10140463Locality 46
10140873Locality 87
10141043Locality 104
10141383Locality 138
1015   2Yucatan                                           
10150023Locality 2
10150173Locality 17
10150183Locality 18
10150253Locality 25
10150283Locality 28
10150313Locality 31
10150413Locality 41
10150423Locality 42
10150433Locality 43
10150583Locality 58
10150783Locality 78
10150823Locality 82
10150933Locality 93
10150993Locality 99
10151203Locality 120
10151213Locality 121
10151323Locality 132
10151343Locality 134
10151453Locality 145
10151523Locality 152
10152313Locality 231
10153113Locality 311
1016   2Yuti                                              
10160033Locality 3
10160063Locality 6
10160083Locality 8
10160103Locality 10
10160163Locality 16
10160273Locality 27
10160313Locality 31
10160323Locality 32
10160343Locality 34
10160373Locality 37
10160383Locality 38
10160393Locality 39
10160433Locality 43
10160553Locality 55
10160593Locality 59
10160643Locality 64
10160743Locality 74
10160933Locality 93
10160953Locality 95
10160993Locality 99
10161013Locality 101
10161053Locality 105
10161163Locality 116
10161173Locality 117
10161183Locality 118
10161273Locality 127
10161293Locality 129
10161333Locality 133
10161413Locality 141
10161493Locality 149
10161623Locality 162
10161713Locality 171
10162273Locality 227
10162323Locality 232
10162373Locality 237
11     1Matanga                                           
1101   2Andaluse                                          
11010263Locality 26
11010483Locality 48
11010663Locality 66
11011453Locality 145
1102   2Bodia                                             
11020063Locality 6
11020123Locality 12
11020233Locality 23
11020343Locality 34
11020463Locality 46
11020643Locality 64
11021013Locality 101
11021083Locality 108
11021443Locality 144
1103   2Cayenne                                           
11030283Locality 28
11030333Locality 33
11030423Locality 42
11030803Locality 80
11031023Locality 102
11031043Locality 104
11031103Locality 110
11031233Locality 123
11031273Locality 127
11031323Locality 132
11031343Locality 134
11031373Locality 137
11031473Locality 147
11031663Locality 166
11031773Locality 177
11032373Locality 237
1104   2Cucuta                                            
11040053Locality 5
11040113Locality 11
11040143Locality 14
11040223Locality 22
11040373Locality 37
11040453Locality 45
11040633Locality 63
11040993Locality 99
11041003Locality 100
11041073Locality 107
11041433Locality 143
1105   2Goba                                              
11050073Locality 7
11050243Locality 24
11050353Locality 35
11050473Locality 47
11050653Locality 65
11051023Locality 102
11051453Locality 145
1106   2Iwo                                               
11060253Locality 25
11060363Locality 36
11060473Locality 47
11060653Locality 65
11060663Locality 66
11061443Locality 144
1107   2Jacobina                                          
11070133Locality 13
11070263Locality 26
11070273Locality 27
11070363Locality 36
11070383Locality 38
11070403Locality 40
11070493Locality 49
11071003Locality 100
11071023Locality 102
11071093Locality 109
11071213Locality 121
11071253Locality 125
11071263Locality 126
11071303Locality 130
11071323Locality 132
11071353Locality 135
11071553Locality 155
11071643Locality 164
11071753Locality 175
1108   2Julio                                             
11080053Locality 5
11080103Locality 10
11080113Locality 11
11080133Locality 13
11080263Locality 26
11080353Locality 35
11080503Locality 50
11080523Locality 52
11080613Locality 61
11080693Locality 69
11080913Locality 91
11080983Locality 98
11082423Locality 242
1109   2Kariba                                            
11090053Locality 5
11090273Locality 27
11090323Locality 32
11090373Locality 37
11090413Locality 41
11090793Locality 79
11091013Locality 101
11091033Locality 103
11091093Locality 109
11091223Locality 122
11091263Locality 126
11091313Locality 131
11091333Locality 133
11091363Locality 136
11091463Locality 146
11091563Locality 156
11091653Locality 165
11091763Locality 176
11092363Locality 236
1110   2Nicobar                                           
11100033Locality 3
11100093Locality 9
11100243Locality 24
11100333Locality 33
11100343Locality 34
11100473Locality 47
11100503Locality 50
11100593Locality 59
11100673Locality 67
11100813Locality 81
11100893Locality 89
11101113Locality 111
11101243Locality 124
11101483Locality 148
11102403Locality 240
1111   2Savu                                              
11110673Locality 67
11111463Locality 146
1112   2Somali                                            
11120043Locality 4
11120093Locality 9
11120103Locality 10
11120123Locality 12
11120253Locality 25
11120343Locality 34
11120363Locality 36
11120483Locality 48
11120513Locality 51
11120603Locality 60
11120683Locality 68
11120903Locality 90
11120973Locality 97
11121253Locality 125
11122413Locality 241
12     1Patan                                             
1201   2Angola                                            
12010623Locality 62
12010673Locality 67
12010713Locality 71
12011043Locality 104
12011123Locality 112
12011473Locality 147
1202   2Ankara                                            
12020063Locality 6
12020363Locality 36
12020373Locality 37
12020393Locality 39
12020443Locality 44
12020533Locality 53
12021393Locality 139
1203   2Birgani                                           
12031503Locality 150
1204   2Bon                                               
12040163Locality 16
12040293Locality 29
12040383Locality 38
12040433Locality 43
12041033Locality 103
12041383Locality 138
12041793Locality 179
1205   2Carrib                                            
12050493Locality 49
12050703Locality 70
12051013Locality 101
12051033Locality 103
12051343Locality 134
1206   2Chad                                              
12060073Locality 7
12060143Locality 14
12060483Locality 48
12061003Locality 100
12061293Locality 129
12061333Locality 133
1207   2Gabon                                             
12070513Locality 51
12071053Locality 105
12071243Locality 124
12071283Locality 128
12071683Locality 168
12072433Locality 243
1208   2Grafius                                           
12080063Locality 6
12080073Locality 7
12080373Locality 37
12080383Locality 38
12080543Locality 54
12081283Locality 128
1209   2Hurland                                           
12090823Locality 82
12091493Locality 149
1210   2Korea                                             
12100083Locality 8
12100123Locality 12
12100273Locality 27
12100363Locality 36
12100933Locality 93
12101463Locality 146
1211   2Marvino                                           
12110503Locality 50
12110673Locality 67
12111103Locality 110
12111363Locality 136
1212   2Patna                                             
12120393Locality 39
12120513Locality 51
12121113Locality 111
1213   2Payot                                             
12130153Locality 15
12130283Locality 28
12130403Locality 40
12130833Locality 83
12131783Locality 178
1214   2Rica                                              
12140133Locality 13
12140263Locality 26
12141273Locality 127
12141583Locality 158
12141673Locality 167
12142393Locality 239
1215   2Seno                                              
12150093Locality 9
12150133Locality 13
12150663Locality 66
12151353Locality 135
12151473Locality 147
1216   2Tango                                             
12160123Locality 12
12160253Locality 25
12160303Locality 30
12160693Locality 69
12161573Locality 157
12162383Locality 238
1217   2Volta                                             
12170293Locality 29
12170633Locality 63
12170683Locality 68
12171133Locality 113
12171483Locality 148
1218   2Washito                                           
12180353Locality 35
12180523Locality 52
12180923Locality 92
12181063Locality 106
12181253Locality 125
12182443Locality 244
13     1Rift                                              
1301   2Arenas                                            
13010083Locality 8
13010143Locality 14
13010693Locality 69
13010843Locality 84
13011483Locality 148
1302   2Bantry                                            
13020083Locality 8
13020143Locality 14
13020153Locality 15
13020413Locality 41
13022403Locality 240
1303   2Bonita                                            
13030393Locality 39
1304   2Carlotta                                          
13040103Locality 10
13040293Locality 29
13040553Locality 55
13040643Locality 64
13040943Locality 94
13041293Locality 129
1305   2Fez                                               
13050273Locality 27
13050373Locality 37
13050453Locality 45
13050503Locality 50
13050683Locality 68
13051043Locality 104
1306   2Hudun                                             
13060173Locality 17
13060723Locality 72
1307   2Minch                                             
13070403Locality 40
13070523Locality 52
13071053Locality 105
13071593Locality 159
1308   2Morray                                            
13080533Locality 53
13081023Locality 102
13081123Locality 112
13081143Locality 114
13081403Locality 140
1309   2Rayong                                            
13090703Locality 70
13091143Locality 114
13091303Locality 130
1310   2Tarata                                            
13100313Locality 31
13101353Locality 135
13101693Locality 169
13101803Locality 180
13102453Locality 245
1311   2Zulu                                              
13110303Locality 30
13110383Locality 38
13111263Locality 126
13111373Locality 137
13111493Locality 149
14     1Terra                                             
1401   2Antigua                                           
14010433Locality 43
14010653Locality 65
14010963Locality 96
14011313Locality 131
14011603Locality 160
14012413Locality 241
1402   2Borroloola                                        
14020403Locality 40
14020423Locality 42
14020713Locality 71
14020953Locality 95
14021373Locality 137
1403   2Celebes                                           
14030103Locality 10
14030123Locality 12
14030153Locality 15
14030193Locality 19
14030383Locality 38
14030513Locality 51
14030713Locality 71
14031143Locality 114
1404   2Guyana                                            
14040093Locality 9
14040113Locality 11
14040183Locality 18
14040473Locality 47
14040573Locality 57
14041073Locality 107
14041133Locality 113
14041163Locality 116
14041313Locality 131
1405   2Humbe                                             
14050163Locality 16
14050323Locality 32
14050463Locality 46
14050563Locality 56
14051063Locality 106
14051153Locality 115
14051303Locality 130
14052473Locality 247
1406   2Jos                                               
14060103Locality 10
14060153Locality 15
14060173Locality 17
14060313Locality 31
14060333Locality 33
14061063Locality 106
14061823Locality 182
14062463Locality 246
1407   2Kan Kan                                           
14070293Locality 29
14070743Locality 74
14071493Locality 149
1408   2Luxor                                             
14080543Locality 54
14080663Locality 66
14080693Locality 69
14081323Locality 132
14081413Locality 141
1409   2Selara                                            
14090093Locality 9
14090163Locality 16
14090303Locality 30
14090323Locality 32
14090543Locality 54
14090703Locality 70
14091283Locality 128
14091613Locality 161
14091813Locality 181
1410   2Sumatra                                           
14100163Locality 16
14100393Locality 39
14100403Locality 40
14100523Locality 52
14100723Locality 72
14100853Locality 85
14101033Locality 103
14101053Locality 105
1411   2Surinam                                           
14111273Locality 127
14111503Locality 150
1412   2Teluk                                             
14120413Locality 41
14120863Locality 86
14121043Locality 104
14121063Locality 106
14121383Locality 138
14121503Locality 150
14121703Locality 170
1413   2Walvis                                            
14130393Locality 39
14130413Locality 41
14130703Locality 70
14131073Locality 107
14131363Locality 136
14131393Locality 139
14131513Locality 151
14131713Locality 171
1414   2Woomera                                           
14140533Locality 53
1415   2Yuma                                              
14150283Locality 28
14150553Locality 55
14150733Locality 73
14151423Locality 142
15     1Tumar                                             
1501   2Ambilla                                           
15010013Locality 1
15010083Locality 8
15010153Locality 15
15010183Locality 18
15010213Locality 21
15010223Locality 22
15010253Locality 25
15010293Locality 29
15010303Locality 30
15010343Locality 34
15010353Locality 35
15010383Locality 38
15010413Locality 41
15010433Locality 43
15010453Locality 45
15010473Locality 47
15010483Locality 48
15010493Locality 49
15010503Locality 50
15010513Locality 51
15010523Locality 52
15010543Locality 54
15010613Locality 61
15010623Locality 62
15010633Locality 63
15010673Locality 67
15010723Locality 72
15010743Locality 74
15010783Locality 78
15010793Locality 79
15010833Locality 83
15010853Locality 85
15010883Locality 88
15011003Locality 100
15011013Locality 101
15011083Locality 108
15011113Locality 111
15011133Locality 113
15011163Locality 116
15011173Locality 117
15011183Locality 118
15011233Locality 123
15011253Locality 125
15011323Locality 132
15011343Locality 134
15011383Locality 138
15011403Locality 140
15011443Locality 144
15011453Locality 145
15011493Locality 149
15011513Locality 151
15011563Locality 156
15011583Locality 158
15011603Locality 160
15011643Locality 164
15011743Locality 174
15011873Locality 187
15012463Locality 246
15012543Locality 254
15012573Locality 257
1502   2Beni                                              
15020033Locality 3
15020073Locality 7
15020113Locality 11
15020143Locality 14
15020213Locality 21
15020273Locality 27
15020283Locality 28
15020353Locality 35
15020373Locality 37
15020413Locality 41
15020423Locality 42
15020493Locality 49
15020533Locality 53
15020553Locality 55
15020563Locality 56
15020603Locality 60
15020653Locality 65
15020783Locality 78
15020943Locality 94
15021043Locality 104
15021133Locality 113
15021173Locality 117
15021193Locality 119
15021413Locality 141
15021463Locality 146
15021513Locality 151
15021543Locality 154
15021553Locality 155
15021923Locality 192
15022423Locality 242
15022503Locality 250
1503   2Colon                                             
15030023Locality 2
15030093Locality 9
15030163Locality 16
15030173Locality 17
15030193Locality 19
15030223Locality 22
15030233Locality 23
15030263Locality 26
15030303Locality 30
15030313Locality 31
15030353Locality 35
15030393Locality 39
15030423Locality 42
15030443Locality 44
15030493Locality 49
15030503Locality 50
15030513Locality 51
15030523Locality 52
15030533Locality 53
15030553Locality 55
15030563Locality 56
15030623Locality 62
15030633Locality 63
15030643Locality 64
15030683Locality 68
15030733Locality 73
15030753Locality 75
15030803Locality 80
15030843Locality 84
15030863Locality 86
15030893Locality 89
15031053Locality 105
15031093Locality 109
15031123Locality 112
15031143Locality 114
15031173Locality 117
15031183Locality 118
15031193Locality 119
15031263Locality 126
15031293Locality 129
15031413Locality 141
15031453Locality 145
15031463Locality 146
15031503Locality 150
15031523Locality 152
15031573Locality 157
15031593Locality 159
15031613Locality 161
15031753Locality 175
15031883Locality 188
15032473Locality 247
1504   2Corum                                             
15040063Locality 6
15040093Locality 9
15040143Locality 14
15040163Locality 16
15040193Locality 19
15040203Locality 20
15040233Locality 23
15040253Locality 25
15040273Locality 27
15040293Locality 29
15040323Locality 32
15040333Locality 33
15040363Locality 36
15040393Locality 39
15040413Locality 41
15040433Locality 43
15040453Locality 45
15040463Locality 46
15040473Locality 47
15040483Locality 48
15040493Locality 49
15040503Locality 50
15040523Locality 52
15040553Locality 55
15040593Locality 59
15040603Locality 60
15040613Locality 61
15040653Locality 65
15040693Locality 69
15040713Locality 71
15040723Locality 72
15040763Locality 76
15040773Locality 77
15040813Locality 81
15040833Locality 83
15040853Locality 85
15040893Locality 89
15040983Locality 98
15040993Locality 99
15041093Locality 109
15041103Locality 110
15041113Locality 111
15041143Locality 114
15041163Locality 116
15041193Locality 119
15041213Locality 121
15041233Locality 123
15041303Locality 130
15041323Locality 132
15041363Locality 136
15041373Locality 137
15041383Locality 138
15041413Locality 141
15041423Locality 142
15041433Locality 143
15041473Locality 147
15041493Locality 149
15041543Locality 154
15041563Locality 156
15041583Locality 158
15041623Locality 162
15041663Locality 166
15041723Locality 172
15041743Locality 174
15041853Locality 185
15042453Locality 245
1505   2Fachi                                             
15050033Locality 3
15050103Locality 10
15050173Locality 17
15050203Locality 20
15050233Locality 23
15050243Locality 24
15050273Locality 27
15050313Locality 31
15050323Locality 32
15050333Locality 33
15050363Locality 36
15050373Locality 37
15050403Locality 40
15050433Locality 43
15050453Locality 45
15050513Locality 51
15050523Locality 52
15050533Locality 53
15050543Locality 54
15050563Locality 56
15050633Locality 63
15050653Locality 65
15050693Locality 69
15050743Locality 74
15050763Locality 76
15050853Locality 85
15050903Locality 90
15051063Locality 106
15051103Locality 110
15051133Locality 113
15051153Locality 115
15051183Locality 118
15051193Locality 119
15051203Locality 120
15051273Locality 127
15051423Locality 142
15051463Locality 146
15051473Locality 147
15051513Locality 151
15051533Locality 153
15051583Locality 158
15051623Locality 162
15051763Locality 176
15051893Locality 189
15052483Locality 248
15052533Locality 253
1506   2Goa                                               
15060023Locality 2
15060063Locality 6
15060103Locality 10
15060173Locality 17
15060243Locality 24
15060303Locality 30
15060443Locality 44
15060453Locality 45
15060683Locality 68
15061073Locality 107
15061193Locality 119
15061443Locality 144
15061953Locality 195
15062533Locality 253
1507   2Khan                                              
15070013Locality 1
15070053Locality 5
15070123Locality 12
15070193Locality 19
15070223Locality 22
15070253Locality 25
15070263Locality 26
15070293Locality 29
15070333Locality 33
15070353Locality 35
15070393Locality 39
15070403Locality 40
15070453Locality 45
15070473Locality 47
15070513Locality 51
15070533Locality 53
15070543Locality 54
15070553Locality 55
15070563Locality 56
15070583Locality 58
15070643Locality 64
15070683Locality 68
15070763Locality 76
15070783Locality 78
15070923Locality 92
15071023Locality 102
15071083Locality 108
15071153Locality 115
15071173Locality 117
15071403Locality 140
15071443Locality 144
15071493Locality 149
15071523Locality 152
15071533Locality 153
15071643Locality 164
15071903Locality 190
15072483Locality 248
15072503Locality 250
15072603Locality 260
1508   2Kirkuk                                            
15080043Locality 4
15080113Locality 11
15080183Locality 18
15080213Locality 21
15080243Locality 24
15080253Locality 25
15080283Locality 28
15080323Locality 32
15080333Locality 33
15080343Locality 34
15080383Locality 38
15080443Locality 44
15080463Locality 46
15080503Locality 50
15080523Locality 52
15080533Locality 53
15080543Locality 54
15080553Locality 55
15080573Locality 57
15080663Locality 66
15080673Locality 67
15080703Locality 70
15080753Locality 75
15080773Locality 77
15080863Locality 86
15080913Locality 91
15081013Locality 101
15081073Locality 107
15081113Locality 111
15081143Locality 114
15081163Locality 116
15081203Locality 120
15081213Locality 121
15081393Locality 139
15081433Locality 143
15081483Locality 148
15081523Locality 152
15081633Locality 163
15081773Locality 177
15081993Locality 199
15082493Locality 249
15082593Locality 259
1509   2Kitvia                                            
15090053Locality 5
15090083Locality 8
15090133Locality 13
15090153Locality 15
15090183Locality 18
15090193Locality 19
15090223Locality 22
15090243Locality 24
15090263Locality 26
15090283Locality 28
15090313Locality 31
15090323Locality 32
15090353Locality 35
15090383Locality 38
15090403Locality 40
15090423Locality 42
15090443Locality 44
15090453Locality 45
15090463Locality 46
15090473Locality 47
15090483Locality 48
15090493Locality 49
15090513Locality 51
15090563Locality 56
15090583Locality 58
15090593Locality 59
15090603Locality 60
15090613Locality 61
15090643Locality 64
15090683Locality 68
15090703Locality 70
15090713Locality 71
15090753Locality 75
15090763Locality 76
15090803Locality 80
15090823Locality 82
15090843Locality 84
15090873Locality 87
15090883Locality 88
15090973Locality 97
15090983Locality 98
15091083Locality 108
15091093Locality 109
15091103Locality 110
15091133Locality 113
15091153Locality 115
15091183Locality 118
15091203Locality 120
15091223Locality 122
15091293Locality 129
15091313Locality 131
15091353Locality 135
15091363Locality 136
15091383Locality 138
15091403Locality 140
15091413Locality 141
15091433Locality 143
15091463Locality 146
15091483Locality 148
15091533Locality 153
15091553Locality 155
15091573Locality 157
15091613Locality 161
15091653Locality 165
15091663Locality 166
15091683Locality 168
15091713Locality 171
15091733Locality 173
15091843Locality 184
15092443Locality 244
15092533Locality 253
15092553Locality 255
1510   2Manga                                             
15100023Locality 2
15100063Locality 6
15100133Locality 13
15100203Locality 20
15100263Locality 26
15100273Locality 27
15100343Locality 34
15100363Locality 36
15100403Locality 40
15100413Locality 41
15100463Locality 46
15100483Locality 48
15100523Locality 52
15100543Locality 54
15100553Locality 55
15100573Locality 57
15100593Locality 59
15100693Locality 69
15100773Locality 77
15100933Locality 93
15101033Locality 103
15101163Locality 116
15101183Locality 118
15101403Locality 140
15101413Locality 141
15101453Locality 145
15101503Locality 150
15101533Locality 153
15101543Locality 154
15101653Locality 165
15101913Locality 191
15102493Locality 249
15102513Locality 251
1511   2Tapeta                                            
15110043Locality 4
15110083Locality 8
15110153Locality 15
15110223Locality 22
15110283Locality 28
15110383Locality 38
15110423Locality 42
15110433Locality 43
15110443Locality 44
15110473Locality 47
15110543Locality 54
15110563Locality 56
15110573Locality 57
15110613Locality 61
15110663Locality 66
15110793Locality 79
15110953Locality 95
15111053Locality 105
15111073Locality 107
15111183Locality 118
15111203Locality 120
15111423Locality 142
15111553Locality 155
15111933Locality 193
15112513Locality 251
1512   2Tumbus                                            
15120013Locality 1
15120053Locality 5
15120093Locality 9
15120163Locality 16
15120233Locality 23
15120293Locality 29
15120433Locality 43
15120443Locality 44
15120453Locality 45
15120573Locality 57
15120623Locality 62
15120673Locality 67
15120803Locality 80
15120963Locality 96
15121063Locality 106
15121083Locality 108
15121433Locality 143
15121943Locality 194
15122523Locality 252
1513   2Wamba                                             
15130073Locality 7
15130173Locality 17
15130203Locality 20
15130213Locality 21
15130243Locality 24
15130263Locality 26
15130283Locality 28
15130333Locality 33
15130343Locality 34
15130373Locality 37
15130403Locality 40
15130423Locality 42
15130443Locality 44
15130463Locality 46
15130473Locality 47
15130483Locality 48
15130493Locality 49
15130503Locality 50
15130513Locality 51
15130533Locality 53
15130563Locality 56
15130603Locality 60
15130613Locality 61
15130623Locality 62
15130663Locality 66
15130703Locality 70
15130713Locality 71
15130733Locality 73
15130773Locality 77
15130783Locality 78
15130823Locality 82
15130843Locality 84
15130873Locality 87
15130903Locality 90
15130993Locality 99
15131003Locality 100
15131103Locality 110
15131123Locality 112
15131153Locality 115
15131173Locality 117
15131203Locality 120
15131223Locality 122
15131243Locality 124
15131313Locality 131
15131333Locality 133
15131373Locality 137
15131383Locality 138
15131393Locality 139
15131433Locality 143
15131443Locality 144
15131483Locality 148
15131503Locality 150
15131553Locality 155
15131573Locality 157
15131593Locality 159
15131633Locality 163
15131733Locality 173
15131753Locality 175
15131863Locality 186
15132563Locality 256
1514   2Yapei                                             
15140043Locality 4
15140073Locality 7
15140123Locality 12
15140143Locality 14
15140173Locality 17
15140183Locality 18
15140213Locality 21
15140233Locality 23
15140253Locality 25
15140273Locality 27
15140303Locality 30
15140323Locality 32
15140343Locality 34
15140373Locality 37
15140393Locality 39
15140413Locality 41
15140433Locality 43
15140443Locality 44
15140453Locality 45
15140463Locality 46
15140473Locality 47
15140483Locality 48
15140503Locality 50
15140553Locality 55
15140573Locality 57
15140583Locality 58
15140593Locality 59
15140603Locality 60
15140623Locality 62
15140633Locality 63
15140673Locality 67
15140693Locality 69
15140703Locality 70
15140743Locality 74
15140753Locality 75
15140793Locality 79
15140813Locality 81
15140833Locality 83
15140863Locality 86
15140873Locality 87
15140883Locality 88
15140973Locality 97
15141083Locality 108
15141093Locality 109
15141123Locality 112
15141173Locality 117
15141193Locality 119
15141213Locality 121
15141283Locality 128
15141303Locality 130
15141333Locality 133
15141343Locality 134
15141373Locality 137
15141393Locality 139
15141403Locality 140
15141423Locality 142
15141443Locality 144
15141453Locality 145
15141473Locality 147
15141523Locality 152
15141543Locality 154
15141563Locality 156
15141603Locality 160
15141643Locality 164
15141653Locality 165
15141673Locality 167
15141693Locality 169
15141703Locality 170
15141723Locality 172
15141833Locality 183
15141973Locality 197
15142433Locality 243
15142523Locality 252
1515   2Zaria                                             
15150033Locality 3
15150113Locality 11
15150313Locality 31
15150463Locality 46
15151203Locality 120
15151963Locality 196
15152543Locality 254
